AC Milan	AS Roma	0:0	0:1	23.03.1986	00:00	1985	1986	26
AS Bari	ACF Fiorentina	0:1	0:1	23.03.1986	00:00	1985	1986	26
Pisa SC	Torino FC	0:0	0:0	23.03.1986	00:00	1985	1986	26
SSC Napoli	AS Bari	0:0	1:0	06.04.1986	00:00	1985	1986	27
US Lecce	Pisa SC	0:1	1:1	06.04.1986	00:00	1985	1986	27
Hellas Verona	Udinese Calcio	1:1	1:1	06.04.1986	00:00	1985	1986	27
Torino FC	Calcio Como	0:2	1:3	06.04.1986	00:00	1985	1986	27
Inter	AC Milan	0:0	1:0	06.04.1986	00:00	1985	1986	27
AS Roma	Sampdoria	0:0	1:0	06.04.1986	00:00	1985	1986	27
ACF Fiorentina	Juventus	0:0	2:0	06.04.1986	00:00	1985	1986	27
Atalanta	US Avellino	1:0	2:0	06.04.1986	00:00	1985	1986	27
Torino FC	Inter	0:0	1:0	13.04.1986	00:00	1985	1986	28
Udinese Calcio	Atalanta	1:0	1:0	13.04.1986	00:00	1985	1986	28
Sampdoria	Juventus	0:0	0:0	13.04.1986	00:00	1985	1986	28
Pisa SC	AS Roma	2:1	2:4	13.04.1986	00:00	1985	1986	28
Calcio Como	US Lecce	1:0	2:0	13.04.1986	00:00	1985	1986	28
AS Bari	Hellas Verona	1:0	3:1	13.04.1986	00:00	1985	1986	28
US Avellino	ACF Fiorentina	1:0	3:1	13.04.1986	00:00	1985	1986	28
AC Milan	SSC Napoli	0:2	1:2	13.04.1986	00:00	1985	1986	28
ACF Fiorentina	Udinese Calcio	0:0	1:0	20.04.1986	00:00	1985	1986	29
Hellas Verona	Pisa SC	1:0	3:0	20.04.1986	00:00	1985	1986	29
AS Roma	US Lecce	1:2	2:3	20.04.1986	00:00	1985	1986	29
SSC Napoli	Sampdoria	2:0	3:0	20.04.1986	00:00	1985	1986	29
Atalanta	Torino FC	0:0	2:2	20.04.1986	00:00	1985	1986	29
Inter	Calcio Como	1:1	3:2	20.04.1986	00:00	1985	1986	29
AS Bari	US Avellino	0:0	0:1	20.04.1986	00:00	1985	1986	29
Juventus	AC Milan	0:0	1:0	20.04.1986	00:00	1985	1986	29
Pisa SC	ACF Fiorentina	0:0	1:2	27.04.1986	00:00	1985	1986	30
US Avellino	SSC Napoli	0:0	0:1	27.04.1986	00:00	1985	1986	30
Torino FC	Hellas Verona	1:1	2:1	27.04.1986	00:00	1985	1986	30
Sampdoria	Inter	0:0	0:0	27.04.1986	00:00	1985	1986	30
Udinese Calcio	AS Bari	1:0	2:2	27.04.1986	00:00	1985	1986	30
Calcio Como	AS Roma	1:0	1:0	27.04.1986	00:00	1985	1986	30
US Lecce	Juventus	0:0	2:3	27.04.1986	00:00	1985	1986	30
AC Milan	Atalanta	1:0	1:1	27.04.1986	00:00	1985	1986	30
